State,Name of the ULB,Total Population 2011
ARUNACHAL PRADESH,Naharlagun (NT),36158
ASSAM,Kokrajhar (MB),34136
ASSAM,Gauripur (TC),25124
ASSAM,Bilasipara (TC),37410
ASSAM,Barpeta Road (MB),35571
ASSAM,Barpeta (MB),42649
ASSAM,Marigaon (MB),29164
ASSAM,Hojai (MB),36638
ASSAM,Lumding (MB),31347
ASSAM,Lanka (MB),36805
ASSAM,Silapathar (TC),25662
ASSAM,Margherita (TC),26914
ASSAM,Golaghat (MB),41989
ASSAM,Haflong (TC),43756
ASSAM,Hailakandi (MB),33637
ASSAM,Rangia (MB),27889
ASSAM,Nalbari (MB),27839
ASSAM,Mangaldoi (MB),25989
HIMACHAL PRADESH,Mandi (M Cl),26422
HIMACHAL PRADESH,Baddi (M Cl),25639
HIMACHAL PRADESH,Solan (M Cl),39256
HIMACHAL PRADESH,Nahan (M Cl),28899
HIMACHAL PRADESH,Paonta Sahib (M Cl),25183
JAMMU AND KASHMIR,Punch (M Cl),26854
JAMMU AND KASHMIR,Rajauri (MC),29486
JAMMU AND KASHMIR,Bandipore (MC),37081
JAMMU AND KASHMIR,Ganderbal (MC),28233
JAMMU AND KASHMIR,Udhampur (M Cl),35507
LADAKH,Leh Ladakh (MC),30870
MANIPUR,Thoubal (MCI),45947
MANIPUR,Kakching (M Cl),32138
MEGHALAYA,Nongstoin (TC),28742
MEGHALAYA,Jowai (M),28430
MIZORAM,Champhai (NT),32734
MIZORAM,Saiha (NT),25110
NAGALAND,Mon (TC),26328
NAGALAND,Mokokchung (MC),35913
NAGALAND,Wokha (TC),35004
NAGALAND,Chumukedima (TC),25885
NAGALAND,Tuensang (TC),36774
TRIPURA,Udaipur (NP),32758
TRIPURA,Dharmanagar (NP),40595
UTTARAKHAND,Mussoorie (NPP),30118
UTTARAKHAND,Pauri (NPP),25440
UTTARAKHAND,Kotdwara (NPP),28859
UTTARAKHAND,Almora (NPP),34122
UTTARAKHAND,Nainital (NPP),41377
UTTARAKHAND,Bajpur (NPP),25524
UTTARAKHAND,Kichha (NPP),41965
UTTARAKHAND,Sitarganj (NPP),29965
ANDHRA PRADESH,Amalapuram (M),53231
ANDHRA PRADESH,Anakapalle (M),86519
ANDHRA PRADESH,Badvel (M),70626
ANDHRA PRADESH,Bapatla (M),70777
ANDHRA PRADESH,Bheemunipatnam (M),52110
ANDHRA PRADESH,Bobbili (M),56819
ANDHRA PRADESH,Chirala (M),87200
ANDHRA PRADESH,Dhone (NP),59272
ANDHRA PRADESH,Gudur (M),60625
ANDHRA PRADESH,Jaggaiahpet (M),53530
ANDHRA PRADESH,Kadiri (M),89429
ANDHRA PRADESH,Kandukur (M),57246
ANDHRA PRADESH,Kavali (M),82336
ANDHRA PRADESH,Macherla (M),57290
ANDHRA PRADESH,Mandapeta (M),53633
ANDHRA PRADESH,Mangalagiri (M),73613
ANDHRA PRADESH,Markapur (M),71092
ANDHRA PRADESH,Nagari (M),62253
ANDHRA PRADESH,Narasapur (M),58770
ANDHRA PRADESH,Nuzvid (M),58590
ANDHRA PRADESH,Palacole (M),61284
ANDHRA PRADESH,Palamaner (M),51163
ANDHRA PRADESH,Palasa Kasibugga (M),57507
ANDHRA PRADESH,Parvathipuram (M),53844
ANDHRA PRADESH,Piduguralla (NP),63103
ANDHRA PRADESH,Pithapuram (M),52360
ANDHRA PRADESH,Ponnur (M),59913
ANDHRA PRADESH,Pulivendla (M),65706
ANDHRA PRADESH,Punganur (M),54746
ANDHRA PRADESH,Puttur (M),54092
ANDHRA PRADESH,Rayachoti (M),91234
ANDHRA PRADESH,Rayadurg (M),61749
ANDHRA PRADESH,Repalle (M),50866
ANDHRA PRADESH,Samalkot (M),56864
ANDHRA PRADESH,Sattenapalle (M),56721
ANDHRA PRADESH,Srikalahasti (M),80056
ANDHRA PRADESH,Tadepalle (M),54406
ANDHRA PRADESH,Tanuku (M),72348
ANDHRA PRADESH,Tuni (M),53425
ANDHRA PRADESH,Venkatagiri (M),51708
ANDHRA PRADESH,Vinukonda (M),59725
ANDHRA PRADESH,Yemmiganur (M),95149
ARUNACHAL PRADESH,Itanagar (NT),59490
ASSAM,Bongaigaon (MB),67322
ASSAM,Dhubri (MB),63388
ASSAM,Diphu (TC),61797
ASSAM,Goalpara (MB),53430
ASSAM,Jorhat (MB),71782
ASSAM,Karimganj (MB),56854
ASSAM,North Lakhimpur (MB),59814
ASSAM,Sivasagar (MB),50781
ASSAM,Tezpur (MB),58559
ASSAM,Tinsukia (MB),99448
BIHAR,Araria (Nagar Parishad),79021
BIHAR,Arwal (Nagar Parishad),51849
BIHAR,Barauni (Nagar Parishad),71660
BIHAR,Barh (Nagar Parishad),61470
BIHAR,Benipur (Nagar Parishad),75317
BIHAR,Bhabua (Nagar Parishad),50179
BIHAR,Bihat (Nagar Parishad),67952
BIHAR,Daudnagar (NP),52364
BIHAR,Dumraon (Nagar Parishad),53618
BIHAR,Fatwah (NP),50961
BIHAR,Forbesganj (Nagar Parishad),50475
BIHAR,Gopalganj (Nagar Parishad),67339
BIHAR,Hilsa (Nagar Parishad),51052
BIHAR,Jamui (Nagar Parishad),87357
BIHAR,Lakhisarai (Nagar Parishad),99979
BIHAR,Madhepura (Nagar Parishad),54472
BIHAR,Madhubani (Nagar Parishad),75736
BIHAR,Masaurhi (Nagar Parishad),59803
BIHAR,Mokameh (Nagar Parishad),60678
BIHAR,Nawada (Nagar Parishad),98029
BIHAR,Phulwari Sharif (Nagar Parishad),81740
BIHAR,Raxaul Bazar  (Nagar Parishad),55536
BIHAR,Samastipur (Nagar Parishad),62935
BIHAR,Sheikhpura (Nagar Parishad),62927
BIHAR,Sitamarhi (Nagar Parishad),67818
BIHAR,Sultanganj (Nagar Parishad),52892
BIHAR,Supaul (Nagar Parishad),65437
BIHAR,Teghra (NP),56234
CHHATTISGARH,Bhatapara (M),57537
CHHATTISGARH,Bhilai Charoda (M),98008
CHHATTISGARH,Birgaon (M),96294
CHHATTISGARH,Chirmiri (M.Corp) ,85317
CHHATTISGARH,Dhamtari (M),89860
CHHATTISGARH,Mahasamund (M),53783
DADRA & NAGAR HAVELI,Silvassa (M CI),98265
GOA,Margao (M Cl),87650
GOA,Mormugao (M Cl),94393
GUJARAT,Anjar (M),87183
GUJARAT,Anklesvar (M),73928
GUJARAT,Bardoli (M),60821
GUJARAT,Bilimora (M),53187
GUJARAT,Borsad (M),63377
GUJARAT,Dabhoi (M),51240
GUJARAT,Dholka (M),79531
GUJARAT,Dhoraji (M),84545
GUJARAT,Dhrangadhra (M),75133
GUJARAT,Dohad (M),94578
GUJARAT,Halol (M),59605
GUJARAT,Himatnagar (M),81137
GUJARAT,Kadi (M),73228
GUJARAT,Keshod (M),76193
GUJARAT,Khambhat (M),83715
GUJARAT,Mahuva (M),82772
GUJARAT,Mandvi (M),51376
GUJARAT,Mangrol (M),63794
GUJARAT,Modasa (M),67648
GUJARAT,Okha (M),62052
GUJARAT,Palitana (M),64497
GUJARAT,Petlad (M),55330
GUJARAT,Savarkundla (M),78354
GUJARAT,Sidhpur (M),56402
GUJARAT,Sihor (M),54547
GUJARAT,Una (M),58528
GUJARAT,Unjha (M),57108
GUJARAT,Upleta (M),58775
GUJARAT,Vijalpor (M),81245
GUJARAT,Viramgam (M),55821
GUJARAT,Visnagar (M),63073
GUJARAT,Wadhwan (M),75755
HARYANA,Charkhi Dadri (MC),56337
HARYANA,Fatehabad (M Cl),70777
HARYANA,Gohana (MC),65708
HARYANA,Hansi (M Cl),86770
HARYANA,Hodal (MC),50143
HARYANA,Mandi Dabwali (MC),52873
HARYANA,Narnaul (M Cl),74581
HARYANA,Narwana (M Cl),62090
